uuid,all_uuids,playlist_title,id3_title,new_name,mp3_exists,image_exists
"497a2c13-9475-4e32-b21e-9593369aba7c","497a2c13-9475-4e32-b21e-9593369aba7c","une terrible vengeance","62e épisode, où l’on assiste à une terrible vengeance","une terrible vengeance",True,True
"c5d4107f-0737-45b4-8ff1-31815e49aa12","c5d4107f-0737-45b4-8ff1-31815e49aa12|f25366ac-29e6-4cd4-8d89-ddd6e470894d","i_c5d4107f-0737-45b4-8ff1-31815e49aa12","63e épisode, où l’on revoit un petit garçon devenu grand","i_c5d4107f-0737-45b4-8ff1-31815e49aa12",True,True
"d4325f9e-07df-4fda-8106-da27085fe932","d4325f9e-07df-4fda-8106-da27085fe932","i_e578f9bb-36a0-4323-a745-2a8101bc2db","65e épisode, où Oreste revoit sa mère","i_e578f9bb-36a0-4323-a745-2a8101bc2db",True,True
"3cb9a369-8097-4e86-beec-c228b73be583","3cb9a369-8097-4e86-beec-c228b73be583","le destin tragique d_une famille se pou","67e épisode, où Ulysse retourne chez Circé","le destin tragique d_une famille se pou",True,True
"9715b03c-ae93-4802-875d-272f52ba04fd","9715b03c-ae93-4802-875d-272f52ba04fd|a991fe6b-9c3d-446a-ba10-91f31fec94ca","pisode_ quand Uly","68e épisode, où le chant des sirènes menace","pisode_ quand Uly",True,True
"5ab0a8b8-69e1-4961-90f6-316720ff0090","5ab0a8b8-69e1-4961-90f6-316720ff0090|ee70f777-5284-487b-a857-89ba109f3905","pisode_ au cours duquel Ulysse va de Charybde en Sc","70e épisode, au cours duquel Ulysse va de Charybde en Scylla","pisode_ au cours duquel Ulysse va de Charybde en Sc",True,True
"bab0d41a-7ae3-4ba6-8d8a-79ef9d8b56e6","bab0d41a-7ae3-4ba6-8d8a-79ef9d8b56e6","l_on assiste au vol des boeufs du Soleil","72e épisode, où Ulysse se retrouve totalement seul","l_on assiste au vol des boeufs du Soleil",True,True
"b0b30d1c-18a6-4b86-a669-951a7e9fa4b5","b0b30d1c-18a6-4b86-a669-951a7e9fa4b5|af35c13c-f35e-4782-8ebd-35b201ee4919","pisode_ quand un fils par","74e épisode, où le héros renonce à l’immortalité","pisode_ quand un fils par",True,True
"2261316f-b883-4dc1-a1bb-2c72fa61c8e7","2261316f-b883-4dc1-a1bb-2c72fa61c8e7|5ed08ca7-4032-453d-bd29-8603abea7e35","i_2261316f-b883-4dc1-a1bb-2c72fa61c8e7","76e épisode, où Télémaque arrive à Sparte","i_2261316f-b883-4dc1-a1bb-2c72fa61c8e7",True,True
"4e403b9f-5319-44cc-a15d-bab2988b376c","4e403b9f-5319-44cc-a15d-bab2988b376c","i_4e403b9f-5319-44cc-a15d-bab2988b376c","78e épisode, où Ulysse devient un véritable naufragé","i_4e403b9f-5319-44cc-a15d-bab2988b376c",True,True
"fa7eae79-bfdc-4127-90cd-23fb33b6802f","fa7eae79-bfdc-4127-90cd-23fb33b6802f","f502e-ad1a-4b04-9d4d-480731d92918","80e épisode, où Ulysse verse des larmes","f502e-ad1a-4b04-9d4d-480731d92918",True,True
"d55930bc-683b-4bc0-a273-b406b123a05a","d55930bc-683b-4bc0-a273-b406b123a05a|62b4c11d-ec02-4179-90b0-473e86c766cc","i_d55930bc-683b-4bc0-a273-b406b123a05a","81e épisode, dans lequel la vérité est bonne à dire","i_d55930bc-683b-4bc0-a273-b406b123a05a",True,True
"8aa8d1d1-8743-4bc0-b17e-aecf784bd202","8aa8d1d1-8743-4bc0-b17e-aecf784bd202","l_on assiste aux retrouvailles d_un fi","83e épisode, où l’on assiste aux retrouvailles d’un fils et de son père","l_on assiste aux retrouvailles d_un fi",True,True
"ab8fbfc9-47cd-49e7-baf4-505931e711b7","ab8fbfc9-47cd-49e7-baf4-505931e711b7","un mendiant arrive au palais d_Ulysse","85e épisode, quand les lois de l’hospitalité sont bafouées","un mendiant arrive au palais d_Ulysse",True,True
"4dc4e020-8a64-4200-9a9b-2a6083fabfbe","4dc4e020-8a64-4200-9a9b-2a6083fabfbe|dc8c48e0-341e-4fa2-8d60-7d6ff215b2ef","i_4dc4e020-8a64-4200-9a9b-2a6083fabfbe","86e épisode, au cours duquel quelqu’un d’autre reconnaît Ulysse","i_4dc4e020-8a64-4200-9a9b-2a6083fabfbe",True,True
"4e3f8ebb-7b01-48af-8c6b-d5ab826da190","4e3f8ebb-7b01-48af-8c6b-d5ab826da190","i_0df86751-9e9d-4cd0","88e épisode, où la destinée de Pénélope dépend d’un arc","i_0df86751-9e9d-4cd0",True,True
"61a0e218-a3d2-41c0-91ef-b483a4795ea9","61a0e218-a3d2-41c0-91ef-b483a4795ea9","pisode_ au cours duquel un mendiant redevient roi","90e épisode, qui voit la vengeance d’Ulysse s’accomplir","pisode_ au cours duquel un mendiant redevient roi",True,True
"5ade31ff-5b9b-4959-8c82-e30ebf47295b","5ade31ff-5b9b-4959-8c82-e30ebf47295b|908e40d5-30c3-4eca-9c32-b87a6a9152be","i_5ade31ff-5b9b-4959-8c82-e30ebf47295b","91e épisode, où un homme et une femme hésitent à se retrouver","i_5ade31ff-5b9b-4959-8c82-e30ebf47295b",True,True
"7a01bdb2-f3bf-4705-a64e-b20875a05d6f","7a01bdb2-f3bf-4705-a64e-b20875a05d6f","i_2eebef54-e2a2-49a4-a67e-3ed","93e épisode, où le récit peut enfin exister","i_2eebef54-e2a2-49a4-a67e-3ed",True,True
